crisis_name,start_date,end_date,asset,trading_days,mean_daily_return,total_return,std_return,max_drawdown,hit_rate
European Debt Crisis,2010-04-23,2012-07-24,XLP,569,0.0005132889778665569,0.31695694099690397,0.008205429988267286,-0.11940733334330855,0.5536028119507909
European Debt Crisis,2010-04-23,2012-07-24,XLU,569,0.0005567833115793944,0.3288870925879943,0.009288275913771125,-0.30273231739188133,0.539543057996485
European Debt Crisis,2010-04-23,2012-07-24,XLV,569,0.00046216741241462115,0.24870377752155237,0.01041415428662353,-0.19939496931200817,0.5377855887521968
European Debt Crisis,2010-04-23,2012-07-24,XLY,569,0.00047791443918255715,0.2431957182814981,0.013687589866767554,-0.24426900700581589,0.5272407732864675
China Crash / Oil Crash,2015-06-12,2016-02-11,AAPL,169,-0.001606798559040944,-0.25265420847636544,0.01901936314900283,-0.2889350447063139,0.4437869822485207
China Crash / Oil Crash,2015-06-12,2016-02-11,AMZN,169,0.0011729183800367597,0.17189242859088583,0.02359879864979469,-0.3053446326540753,0.5207100591715976
China Crash / Oil Crash,2015-06-12,2016-02-11,BTC-USD,245,0.002608381364604589,0.6507987606239345,0.033060791831795916,-0.5397346616200633,0.5183673469387755
China Crash / Oil Crash,2015-06-12,2016-02-11,DBC,169,-0.0020942649245958463,-0.2996020875956231,0.011931884440595675,-0.7401518770219511,0.378698224852071
China Crash / Oil Crash,2015-06-12,2016-02-11,DIA,169,-0.0006819030409912786,-0.11110795801734019,0.011375032313219863,-0.13866690227044964,0.47928994082840237
China Crash / Oil Crash,2015-06-12,2016-02-11,GC=F,169,0.00038132120467772106,0.05861891137061925,0.010025234456428955,-0.44363844125895235,0.4319526627218935
China Crash / Oil Crash,2015-06-12,2016-02-11,GLD,169,0.00033755689914038333,0.05148806878758405,0.00920784170271677,-0.45555012734257017,0.47337278106508873
China Crash / Oil Crash,2015-06-12,2016-02-11,GOOGL,169,0.0016983895406507028,0.2902258016131145,0.021283121149250267,-0.1245677380850414,0.5325443786982249
China Crash / Oil Crash,2015-06-12,2016-02-11,IAU,169,0.0003458217960663768,0.054338290433869174,0.009324672146567839,-0.45135137197133657,0.44970414201183434
China Crash / Oil Crash,2015-06-12,2016-02-11,IEF,169,0.0004527542870603502,0.07885322877694856,0.003737999135324185,-0.050926499473991305,0.5798816568047337
China Crash / Oil Crash,2015-06-12,2016-02-11,IWM,169,-0.001551410326989835,-0.23862749366570213,0.012538116679694292,-0.25680478838260157,0.4378698224852071
China Crash / Oil Crash,2015-06-12,2016-02-11,META,169,0.0015527637796092558,0.24996951361267894,0.022823051405014744,-0.1656672991678494,0.5621301775147929
China Crash / Oil Crash,2015-06-12,2016-02-11,MSFT,169,0.0006390560299737517,0.09538332552842,0.01804372367635122,-0.16595558784021236,0.5207100591715976
China Crash / Oil Crash,2015-06-12,2016-02-11,NVDA,169,0.0012436002535324642,0.20809624722588405,0.024371721084296687,-0.4844117877064733,0.5207100591715976
China Crash / Oil Crash,2015-06-12,2016-02-11,QQQ,169,-0.0006116455008856064,-0.10525277851586035,0.013803545786957557,-0.16104398295296274,0.4970414201183432
China Crash / Oil Crash,2015-06-12,2016-02-11,SHY,169,5.222935736555952e-05,0.00907138713593203,0.0006197668179509942,-0.007112147343096509,0.4437869822485207
China Crash / Oil Crash,2015-06-12,2016-02-11,SI=F,169,7.02207920610215e-05,-0.001833372270915401,0.016254501036779802,-0.71871397025315,0.4911242603550296
China Crash / Oil Crash,2015-06-12,2016-02-11,SLV,169,-5.7375324226921324e-05,-0.019672143654745122,0.01354550261326268,-0.7236563503290236,0.47337278106508873
China Crash / Oil Crash,2015-06-12,2016-02-11,SPY,169,-0.0007028464613579142,-0.11526071212265998,0.011593504195971532,-0.1302287815451122,0.47337278106508873
China Crash / Oil Crash,2015-06-12,2016-02-11,TLT,169,0.0008839709164836525,0.15303259807422198,0.009082840645299845,-0.1580950467677832,0.5739644970414202
China Crash / Oil Crash,2015-06-12,2016-02-11,TSLA,169,-0.002618458573650874,-0.3997766669774696,0.028796634139831856,-0.49772755506149235,0.4970414201183432
China Crash / Oil Crash,2015-06-12,2016-02-11,USO,169,-0.005144850399441411,-0.6058214311456569,0.028876803563925434,-0.9322437877877607,0.3668639053254438
China Crash / Oil Crash,2015-06-12,2016-02-11,UUP,169,-8.753777451390317e-06,-0.003214120371325846,0.005496394111556071,-0.09328098950345054,0.4911242603550296
China Crash / Oil Crash,2015-06-12,2016-02-11,XLB,169,-0.001354056882317216,-0.21359350051381498,0.014315745077554879,-0.2688746661663942,0.44970414201183434
China Crash / Oil Crash,2015-06-12,2016-02-11,XLE,169,-0.0018533969119477749,-0.2837888782504512,0.019358354743140693,-0.46745746794978205,0.4437869822485207
China Crash / Oil Crash,2015-06-12,2016-02-11,XLF,169,-0.0012764876203633245,-0.20260221333603634,0.013296300020925004,-0.3795542570103765,0.47928994082840237
China Crash / Oil Crash,2015-06-12,2016-02-11,XLI,169,-0.0006938993265623742,-0.11584836850089797,0.011794497811278119,-0.15701826945079844,0.46745562130177515
China Crash / Oil Crash,2015-06-12,2016-02-11,XLK,169,-0.0004555882594472896,-0.0795418895294262,0.01324098502592125,-0.3056917489569412,0.5088757396449705
China Crash / Oil Crash,2015-06-12,2016-02-11,XLP,169,0.0003019710995698289,0.04795539341838517,0.009837157369322709,-0.10074755541144031,0.48520710059171596
China Crash / Oil Crash,2015-06-12,2016-02-11,XLRE,86,-0.000992374972720017,-0.08901095703949746,0.013519827445345814,-0.13422377583465184,0.4883720930232558
China Crash / Oil Crash,2015-06-12,2016-02-11,XLU,169,0.0005985154607351144,0.10560320668946499,0.010684450467495901,-0.15689119734165624,0.5502958579881657
China Crash / Oil Crash,2015-06-12,2016-02-11,XLV,169,-0.0008554360195615851,-0.13701203651559524,0.013400593215547835,-0.1709364391606727,0.4970414201183432
China Crash / Oil Crash,2015-06-12,2016-02-11,XLY,169,-0.0005456695942932613,-0.09528231355364913,0.012142647995265892,-0.15845064054131675,0.5207100591715976
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,AAPL,24,-0.012923364791582214,-0.3066869206605177,0.058303021187775625,-0.31427268109245676,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,AMZN,24,-0.0044356466407333844,-0.12320869783728239,0.039529128324026074,-0.22744701905130327,0.4166666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,BTC-USD,34,-0.009414155088146045,-0.33395023694856796,0.08322995594678129,-0.7450538027455382,0.38235294117647056
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,DBC,24,-0.011599642388016146,-0.25704697206573723,0.025353844364518797,-0.7561974835529887,0.3333333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,DIA,24,-0.017183321218658204,-0.36347399045659134,0.051664169601433954,-0.36696014222606166,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,ETH-USD,34,-0.015587949461164834,-0.48063774135785164,0.1005424346668864,-0.9207932644711867,0.47058823529411764
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,GC=F,24,-0.0005942116207985673,-0.02519440124416794,0.023882797328115258,-0.2178217361039747,0.5416666666666666
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,GLD,24,-0.0010890783484682244,-0.036168327802914235,0.020553588585361753,-0.25218052968888083,0.625
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,GOOGL,24,-0.014073692090469325,-0.3087082945314873,0.046389597853496486,-0.3087082945314873,0.375
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,IAU,24,-0.0010974919939032574,-0.03634000463902842,0.020408268720465004,-0.24162163605561127,0.5833333333333334
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,IEF,24,0.0026395562180970508,0.06375922350514895,0.011935899929286535,-0.04675637865322868,0.625
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,IWM,24,-0.020074552061140876,-0.4067697488660025,0.04986560104580328,-0.4113330766662304,0.3333333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,META,24,-0.014730551558648738,-0.3190491204383854,0.049648743058276684,-0.34592116157903363,0.3333333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,MSFT,24,-0.011286285706965596,-0.2739212250499774,0.061893015352961024,-0.2803926571363917,0.375
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,NVDA,24,-0.011095603633717763,-0.3237457595335913,0.07317783671637096,-0.37554021045864006,0.4166666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,QQQ,24,-0.011965373797292775,-0.27916588579535795,0.0495102055850833,-0.2855937845650388,0.4166666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,SHY,24,0.0008697247838118186,0.02091425591834728,0.002045587947761463,-0.00646079819251244,0.75
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,SI=F,24,-0.012187167295287876,-0.2770063134783607,0.041949557011528055,-0.7584595804147046,0.4583333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,SLV,24,-0.012644292016246778,-0.2855484186496414,0.03851909903815657,-0.7628015142556759,0.4166666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,SPY,24,-0.015701704871897842,-0.33717259886422934,0.04741957187410804,-0.33717259886422934,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,TLT,24,0.006163337969128176,0.142342493992204,0.03554706188843025,-0.15727742309101922,0.625
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,TSLA,24,-0.0245414279224437,-0.5266180987353892,0.08394264087805713,-0.606265385382069,0.3333333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,USO,24,-0.029547621045329917,-0.5635062628592487,0.08323531639634975,-0.9599080702795282,0.25
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,UUP,24,0.001775741915869165,0.03939052018954481,0.013513100723381265,-0.046313499933520186,0.5
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLB,24,-0.017288261154826807,-0.362091094137289,0.04871356394699597,-0.3727415984990281,0.3333333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLE,24,-0.03068037813061292,-0.5606668643742331,0.06960526508672686,-0.7126277917957133,0.3333333333333333
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLF,24,-0.020926802587376152,-0.42789107998219644,0.06045186259511595,-0.4286252057469623,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLI,24,-0.02096885392131997,-0.4158011313596911,0.04935254163128884,-0.4233410543189432,0.25
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLK,24,-0.013405448476462292,-0.31153226655169697,0.05645296997103319,-0.31153226655169697,0.375
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLP,24,-0.010550092104498601,-0.24161090583113765,0.044670240644469277,-0.245122397639582,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLRE,24,-0.018725580433863933,-0.3781631858118242,0.054175239173243864,-0.38824761015325415,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLU,24,-0.017088886548714488,-0.3536561074648332,0.05367379263357589,-0.36066763330502183,0.25
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLV,24,-0.012498493010473797,-0.2792950627553141,0.042392760333697425,-0.28404325999611024,0.2916666666666667
COVID-19 Pandemic Crash,2020-02-19,2020-03-23,XLY,24,-0.015608377237707341,-0.3350365946342554,0.046445085366283424,-0.339102315670033,0.375
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,AAPL,196,-0.0010233065368819238,-0.23678646698994188,0.021407141931699483,-0.28346224362159667,0.4744897959183674
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,AMZN,196,-0.0014904301086515347,-0.3374587837758579,0.03151636688770026,-0.4516282050569047,0.47959183673469385
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,BTC-USD,283,-0.0025908367307869206,-0.5876405142467871,0.03458063393023531,-0.7254954701098011,0.46996466431095407
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,DBC,196,0.0011663313478555812,0.2142857292974063,0.017603516281451632,-0.5304044198197096,0.5969387755102041
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,DIA,196,-0.0009602018126860546,-0.18934161800457616,0.012439228969897336,-0.2075722722588803,0.45918367346938777
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,ETH-USD,283,-0.0027668174792122887,-0.6557363934736081,0.04589814186950785,-0.7935123166505245,0.46996466431095407
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,GC=F,196,-0.0004135461587783741,-0.07174612306008843,0.009530683290233799,-0.2087252991332561,0.5204081632653061
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,GLD,196,-0.0004239027843741726,-0.07330835979123751,0.00934860509998611,-0.22002168134715538,0.5
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,GOOGL,196,-0.0017408373747726507,-0.3271329421660306,0.023476685709073734,-0.36164610448716084,0.45408163265306123
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,IAU,196,-0.0004158554749873223,-0.07151193740867579,0.009383697733244057,-0.21816334027372153,0.49489795918367346
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,IEF,196,-0.0008791031935337085,-0.15384569006301718,0.006418089832774469,-0.21444367357867822,0.4489795918367347
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,IWM,196,-0.0012466165517048522,-0.25040107361738495,0.017773012158663178,-0.3191165355571206,0.4642857142857143
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,META,196,-0.00417522343916059,-0.6233828558875412,0.038286402538851294,-0.6663875892369748,0.45918367346938777
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,MSFT,196,-0.0017738222486793252,-0.3212100799927625,0.02123473351321271,-0.338746251539094,0.45408163265306123
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,NVDA,196,-0.00398351890352751,-0.6179472565070584,0.03987676935240587,-0.6551647833088607,0.4744897959183674
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,QQQ,196,-0.00188468749428491,-0.34285062320619053,0.020324084912653598,-0.3457823152709666,0.44387755102040816
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,SHY,196,-0.00023450520039174452,-0.04401550543674637,0.0014846928759238759,-0.054709022952983855,0.3877551020408163
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,SI=F,196,-0.0008886400404233937,-0.17165425620771246,0.019640768756943993,-0.6387493675410278,0.49489795918367346
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,SLV,196,-0.0008642722018275641,-0.1694995326185429,0.0180974826001884,-0.6534066918639027,0.46938775510204084
2022 Rate Hike / Inflation Shock,2022-01-03,2022-10-12,SPY,196,-0.0012875053580888862,-0.2449638768701179,0.015223818317269922,-0.2449638768701179,0.4336734693877551
