asset,mean_crisis_return,outperform_spy_rate,max_drawdown_crisis,crisis_volatility,corr_with_spy,hit_rate,crisis_days,z_return,z_outperform,z_drawdown,z_vol,z_corr,z_hit,safe_haven_score,rank
GOOGL,0.00045437423175861166,0.5106382978723404,-0.6529475769682853,0.02533159268926697,0.6714333779519917,0.4982738780207135,1738,1.0345027128560886,0.25088332793216145,-0.13562482210533905,-0.2545626667722635,-0.37832318379247465,-0.2439114850029382,0.16966715348811534,11
XLU,-0.00022083038687316725,0.5142434332223456,-0.5227241836886201,0.015407375519889143,0.7103972807926145,0.510913799482057,2703,-0.03888306564408287,0.29202543369033024,0.44028026608818904,0.5667204020731881,-0.47394979104054663,0.44121435353599886,0.16648808482191035,12
XLP,-0.00018857163890959646,0.5035146133925268,-0.35889062186350185,0.011575049912419285,0.753472872192243,0.4938956714761376,2703,0.012399286906294885,0.16958724559342325,1.164824293821553,0.8838662365506469,-0.5796674517584596,-0.48122486066930803,0.14099369170939086,13
XLE,-2.9632411552552996e-05,0.5305216426193119,-0.7126277917957133,0.022657325020699903,0.743539257059858,0.5149833518312985,2703,0.26506803587984684,0.47779371907873996,-0.3995569660772442,-0.033252439449555166,-0.555288017370082,0.6617976438894404,0.1145434079070713,14
IWM,-0.0001601309602755905,0.5240402534476333,-0.5863999181050017,0.019057272269770633,0.9131533272015403,0.5104399701715138,2682,0.05761198115370192,0.4038275644486041,0.15867817815841426,0.26467155000240694,-0.9715609491533779,0.41553122688817545,0.06203293156236881,15
XLV,-0.00026428478690114054,0.4987051424343322,-0.3917025545573618,0.013962805206520549,0.8225014763142807,0.49500554938956715,2703,-0.10796336177387106,0.1147011612741208,1.0197155041029835,0.6862664700277624,-0.7490799267423238,-0.4210657814820047,0.042011508195930886,16
XLB,-0.0001295462562224732,0.516093229744728,-0.5982479323024148,0.019085077780921757,0.8514211459515909,0.5024047354790973,2703,0.10623307387782614,0.3131354661208307,0.10628105127180557,0.2623704923835275,-0.820055616766574,-0.020005253566656108,0.00535543807276174,17
XLY,-0.00016483287547885357,0.5220125786163522,-0.5904758144901043,0.01847418313701101,0.8828476292336915,0.4975952645209027,2703,0.05013725605314884,0.3806875698984346,0.14065277267624304,0.3129253542259677,-0.8971836187097565,-0.2806945967116322,-0.03561945299620093,18
DIA,-0.00032769209970278897,0.4969169387014871,-0.5186836171710223,0.015639791633172015,0.9699057006870251,0.5063474791439971,2757,-0.20876318739135236,0.09429403090278539,0.45814942736608305,0.547486701771358,-1.110844658793323,0.193704583778449,-0.04743191763746385,19
XLI,-0.000277797585795721,0.5064742878283389,-0.6226266263505549,0.017406755576586514,0.916630697740524,0.5020347761746208,2703,-0.1294449182693924,0.20336329748222584,-0.0015322501039734934,0.4012608035247462,-0.9800952365975176,-0.04005827996242188,-0.10481535471801526,20
