asset,mean_crisis_return,outperform_spy_rate,max_drawdown_crisis,crisis_volatility,corr_with_spy,hit_rate,crisis_days,z_return,z_outperform,z_drawdown,z_vol,z_corr,z_hit,safe_haven_score,rank
XLU,-0.0002208303868731,0.5142434332223456,-0.5227241836886201,0.0154073755198891,0.7103972807926145,0.510913799482057,2703,-0.0388830656440828,0.2920254336903302,0.440280266088189,0.5667204020731881,-0.4739497910405466,0.4412143535359988,0.1664880848219103,12
XLP,-0.0001885716389095,0.5035146133925268,-0.3588906218635018,0.0115750499124192,0.753472872192243,0.4938956714761376,2703,0.0123992869062948,0.1695872455934232,1.164824293821553,0.8838662365506469,-0.5796674517584596,-0.481224860669308,0.1409936917093908,13
XLE,-2.9632411552553e-05,0.5305216426193119,-0.7126277917957133,0.0226573250206999,0.743539257059858,0.5149833518312985,2703,0.2650680358798468,0.4777937190787399,-0.3995569660772442,-0.0332524394495551,-0.555288017370082,0.6617976438894404,0.1145434079070713,14
IWM,-0.0001601309602755,0.5240402534476333,-0.5863999181050017,0.0190572722697706,0.9131533272015404,0.5104399701715138,2682,0.0576119811537019,0.4038275644486041,0.1586781781584142,0.2646715500024069,-0.971560949153378,0.4155312268881754,0.0620329315623688,15
XLV,-0.0002642847869011,0.4987051424343322,-0.3917025545573618,0.0139628052065205,0.8225014763142807,0.4950055493895671,2703,-0.107963361773871,0.1147011612741208,1.0197155041029835,0.6862664700277624,-0.7490799267423238,-0.4210657814820047,0.0420115081959308,16
XLB,-0.0001295462562224,0.516093229744728,-0.5982479323024148,0.0190850777809217,0.8514211459515909,0.5024047354790973,2703,0.1062330738778261,0.3131354661208307,0.1062810512718055,0.2623704923835275,-0.820055616766574,-0.0200052535666561,0.0053554380727617,17
XLY,-0.0001648328754788,0.5220125786163522,-0.5904758144901043,0.018474183137011,0.8828476292336915,0.4975952645209027,2703,0.0501372560531488,0.3806875698984346,0.140652772676243,0.3129253542259677,-0.8971836187097565,-0.2806945967116322,-0.0356194529962009,18
DIA,-0.0003276920997027,0.4969169387014871,-0.5186836171710223,0.015639791633172,0.9699057006870252,0.5063474791439971,2757,-0.2087631873913523,0.0942940309027853,0.458149427366083,0.547486701771358,-1.110844658793323,0.193704583778449,-0.0474319176374638,19
XLI,-0.0002777975857957,0.5064742878283389,-0.6226266263505549,0.0174067555765865,0.916630697740524,0.5020347761746208,2703,-0.1294449182693924,0.2033632974822258,-0.0015322501039734,0.4012608035247462,-0.9800952365975176,-0.0400582799624218,-0.1048153547180152,20
DBC,-0.0005289118022181,0.504297994269341,-0.7636263464047515,0.0165704944166036,0.4975277677315354,0.505730659025788,1396,-0.5286460215338613,0.1785272535969423,-0.6250949923117888,0.4704659730716392,0.0484821995083425,0.1602708791460125,-0.111860744405528,21
